8.7415e-06,5.1721e-05,0.00019621,0.00047727,0.00074436,0.00074436,0.00047727,0.00019621,5.1721e-05,8.7415e-06
5.1721e-05,0.00030601,0.0011609,0.0028238,0.0044041,0.0044041,0.0028238,0.0011609,0.00030601,5.1721e-05
0.00019621,0.0011609,0.0044041,0.010713,0.016708,0.016708,0.010713,0.0044041,0.0011609,0.00019621
0.00047727,0.0028238,0.010713,0.026058,0.040641,0.040641,0.026058,0.010713,0.0028238,0.00047727
0.00074436,0.0044041,0.016708,0.040641,0.063384,0.063384,0.040641,0.016708,0.0044041,0.00074436
0.00074436,0.0044041,0.016708,0.040641,0.063384,0.063384,0.040641,0.016708,0.0044041,0.00074436
0.00047727,0.0028238,0.010713,0.026058,0.040641,0.040641,0.026058,0.010713,0.0028238,0.00047727
0.00019621,0.0011609,0.0044041,0.010713,0.016708,0.016708,0.010713,0.0044041,0.0011609,0.00019621
5.1721e-05,0.00030601,0.0011609,0.0028238,0.0044041,0.0044041,0.0028238,0.0011609,0.00030601,5.1721e-05
8.7415e-06,5.1721e-05,0.00019621,0.00047727,0.00074436,0.00074436,0.00047727,0.00019621,5.1721e-05,8.7415e-06
